id,name,size,price
1,Мятная кофта,XS,30
2,Топовый женский гидрокостюм Blueseventy Helix для плавания и триатлона,M,2700
3,Спортивные смарт часы Samsung Gear Sport sm-r600,,2000
4,Красная кофта с длинным рукавом,L,70
5,Серая кофта 3/4 рукав,L,70
6,Голубая майка в полоску,M,30
7,Кофта в цветочек,M,40
8,Шифоновая кофта,XL,40
9,Шифоновая блуза,L,100
10,Шифоновая блуза,S,100
11,Очень легкая кофта,S,80
12,Шифоновая кофта,S,80
13,Длинная майка,M,50
14,Голубая пушистая кофта,S,100
15,Синее платье,S,100
16,Розовое платье,S,100
17,Атласное платье,XS,80
18,Платье в полоску,S,100
19,Оранжевый сарафан,L,80
20,Голубой сарафан,L,80
21,Зеленое платье,L,80
22,Платье с принтом,XS,80
23,Черный сарафан в горошек,M,80
24,Платье со встроенным лифом,XS,70
25,Черное платье с одним рукавом,S,70
26,Лосины,M,40
27,Атласная юбка,S,40
28,Лосины 3/4,M,40
29,Леопардовые лосины 3/4,M,50
30,Леопардовые лосины 3/4,S,50
31,Лосины,S,30
32,Оранжевое боди,S,70
33,Комбинезон,XS,70
34,Комбинезон со скелетом,S,100
35,Черный комбинезон с бисером,S,50
36,Черный пиджак,M,150
37,Костюм юбка и кофта,M,150
38,Атласный пиджак,M,70
39,Кофта с паетками с атласным бантом на спине,S,50
